"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\Flutter Projects\space_empire\lib\main.dart", "Dart", 131, 7, 5, 143
"c:\Projects\Flutter Projects\space_empire\lib\models\attack_ships_model.dart", "Dart", 57, 0, 7, 64
"c:\Projects\Flutter Projects\space_empire\lib\models\defense_ships_model.dart", "Dart", 49, 0, 5, 54
"c:\Projects\Flutter Projects\space_empire\lib\models\planet_model.dart", "Dart", 28, 0, 2, 30
"c:\Projects\Flutter Projects\space_empire\lib\models\rivals_model.dart", "Dart", 13, 0, 2, 15
"c:\Projects\Flutter Projects\space_empire\lib\models\ruler_model.dart", "Dart", 15, 0, 2, 17
"c:\Projects\Flutter Projects\space_empire\lib\models\upgrade_model.dart", "Dart", 60, 0, 5, 65
"c:\Projects\Flutter Projects\space_empire\lib\screens\attack\attack_conclusion_screen.dart", "Dart", 130, 0, 12, 142
"c:\Projects\Flutter Projects\space_empire\lib\screens\attack\attack_screen.dart", "Dart", 176, 5, 8, 189
"c:\Projects\Flutter Projects\space_empire\lib\screens\character_selection_screen.dart", "Dart", 178, 0, 13, 191
"c:\Projects\Flutter Projects\space_empire\lib\screens\game_end\game_lost.dart", "Dart", 32, 0, 2, 34
"c:\Projects\Flutter Projects\space_empire\lib\screens\game_end\game_won.dart", "Dart", 35, 0, 3, 38
"c:\Projects\Flutter Projects\space_empire\lib\screens\game_screen.dart", "Dart", 276, 0, 12, 288
"c:\Projects\Flutter Projects\space_empire\lib\screens\help\info_screen.dart", "Dart", 307, 0, 12, 319
"c:\Projects\Flutter Projects\space_empire\lib\screens\planet_screen.dart", "Dart", 180, 2, 11, 193
"c:\Projects\Flutter Projects\space_empire\lib\screens\splash_screen.dart", "Dart", 31, 0, 5, 36
"c:\Projects\Flutter Projects\space_empire\lib\screens\story\story_i.dart", "Dart", 201, 4, 17, 222
"c:\Projects\Flutter Projects\space_empire\lib\screens\story\story_ii.dart", "Dart", 187, 0, 16, 203
"c:\Projects\Flutter Projects\space_empire\lib\screens\story\story_iii.dart", "Dart", 192, 0, 16, 208
"c:\Projects\Flutter Projects\space_empire\lib\screens\welcome_screen.dart", "Dart", 100, 0, 9, 109
"c:\Projects\Flutter Projects\space_empire\lib\services\formation_generator.dart", "Dart", 44, 2, 10, 56
"c:\Projects\Flutter Projects\space_empire\lib\services\game.dart", "Dart", 414, 32, 34, 480
"c:\Projects\Flutter Projects\space_empire\lib\services\interaction.dart", "Dart", 93, 2, 9, 104
"c:\Projects\Flutter Projects\space_empire\lib\services\planet\defense_mixin.dart", "Dart", 32, 0, 8, 40
"c:\Projects\Flutter Projects\space_empire\lib\services\planet\planet.dart", "Dart", 96, 12, 15, 123
"c:\Projects\Flutter Projects\space_empire\lib\services\planet\upgrade_mixin.dart", "Dart", 36, 0, 10, 46
"c:\Projects\Flutter Projects\space_empire\lib\services\player\military_mixin.dart", "Dart", 39, 0, 10, 49
"c:\Projects\Flutter Projects\space_empire\lib\services\player\planet_mixin.dart", "Dart", 69, 0, 15, 84
"c:\Projects\Flutter Projects\space_empire\lib\services\player\player.dart", "Dart", 332, 28, 35, 395
"c:\Projects\Flutter Projects\space_empire\lib\services\player\stats.dart", "Dart", 42, 0, 9, 51
"c:\Projects\Flutter Projects\space_empire\lib\utility\constants.dart", "Dart", 14, 1, 5, 20
"c:\Projects\Flutter Projects\space_empire\lib\utility\instructions.dart", "Dart", 40, 0, 1, 41
"c:\Projects\Flutter Projects\space_empire\lib\utility\utility.dart", "Dart", 38, 0, 4, 42
"c:\Projects\Flutter Projects\space_empire\lib\widgets\attack\battlefield.dart", "Dart", 106, 2, 6, 114
"c:\Projects\Flutter Projects\space_empire\lib\widgets\attack\control_panel.dart", "Dart", 390, 10, 15, 415
"c:\Projects\Flutter Projects\space_empire\lib\widgets\attack\formation_painter.dart", "Dart", 57, 0, 11, 68
"c:\Projects\Flutter Projects\space_empire\lib\widgets\circle_tab_indicator.dart", "Dart", 22, 0, 7, 29
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck.dart", "Dart", 123, 2, 12, 137
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck\attack.dart", "Dart", 187, 0, 11, 198
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck\global_news.dart", "Dart", 51, 0, 2, 53
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck\military.dart", "Dart", 335, 0, 15, 350
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck\rivals_chat.dart", "Dart", 266, 0, 17, 283
"c:\Projects\Flutter Projects\space_empire\lib\widgets\control_deck\stats.dart", "Dart", 191, 2, 12, 205
"c:\Projects\Flutter Projects\space_empire\lib\widgets\game_screen\solar_system.dart", "Dart", 118, 1, 8, 127
"c:\Projects\Flutter Projects\space_empire\lib\widgets\game_screen\stats_bar.dart", "Dart", 99, 0, 2, 101
"c:\Projects\Flutter Projects\space_empire\lib\widgets\gradient_dialog.dart", "Dart", 39, 0, 2, 41
"c:\Projects\Flutter Projects\space_empire\lib\widgets\gradient_fab.dart", "Dart", 37, 0, 4, 41
"c:\Projects\Flutter Projects\space_empire\lib\widgets\planet_screen\defense.dart", "Dart", 272, 0, 11, 283
"c:\Projects\Flutter Projects\space_empire\lib\widgets\planet_screen\stats.dart", "Dart", 118, 0, 3, 121
"c:\Projects\Flutter Projects\space_empire\lib\widgets\planet_screen\upgrades.dart", "Dart", 212, 1, 9, 222
"c:\Projects\Flutter Projects\space_empire\lib\widgets\static_stars_bg.dart", "Dart", 16, 0, 2, 18
"Total", "-", 6306, 113, 478, 6897
